MUNICIPIO,TOTAL,Carga,Misto,Passageiro,Tra̤̣o,Especial,Competi̤̣o,Cole̤̣o
ACEGUA,3816,729,83,2658,104.0,242,0.0,0.0
AGUA SANTA,2593,585,101,1750,39.0,118,0.0,0.0
AGUDO,9951,1476,276,7720,118.0,360,1.0,0.0
AJURICABA,5624,1193,255,3798,83.0,294,0.0,1.0
ALECRIM,3766,389,108,3136,5.0,128,0.0,0.0
ALEGRETE,37398,5068,1276,28977,304.0,1746,0.0,27.0
ALEGRIA,2269,280,85,1798,12.0,94,0.0,0.0
ALMIRANTE TAMANDARE DO SUL,1512,331,43,1041,18.0,79,0.0,0.0
ALPESTRE,4172,598,89,3261,83.0,140,1.0,0.0
ALTO ALEGRE,1273,300,35,874,10.0,54,0.0,0.0
ALTO FELIZ,2275,331,84,1755,33.0,69,3.0,0.0
ALVORADA,82951,6562,3075,71976,316.0,1014,2.0,6.0
AMARAL FERRADOR,3301,423,49,2736,18.0,75,0.0,0.0
AMETISTA DO SUL,4847,640,179,3851,17.0,160,0.0,0.0
ANDRE DA ROCHA,745,179,32,486,3.0,45,0.0,0.0
ANTA GORDA,4628,849,148,3333,119.0,177,0.0,2.0
ANTONIO PRADO,10215,2185,660,6482,335.0,533,16.0,4.0
ARAMBARE,2210,325,84,1664,37.0,100,0.0,0.0
ARARICA,3692,452,98,3010,32.0,99,0.0,1.0
ARATIBA,4435,614,144,3497,7.0,172,0.0,1.0
ARROIO DO MEIO,16107,2214,800,12577,143.0,372,1.0,0.0
ARROIO DO PADRE,2025,310,47,1574,35.0,59,0.0,0.0
ARROIO DO SAL,4479,678,191,3461,16.0,133,0.0,0.0
ARROIO DO TIGRE,7256,1035,273,5619,45.0,283,0.0,1.0
ARROIO DOS RATOS,7391,877,236,6028,59.0,191,0.0,0.0
ARROIO GRANDE,10992,1450,303,8836,89.0,314,0.0,0.0
ARVOREZINHA,7667,1492,246,5533,94.0,301,0.0,1.0
AUGUSTO PESTANA,5718,1267,184,3839,102.0,326,0.0,0.0
AUREA,2426,463,66,1748,16.0,133,0.0,0.0
BAGE,69955,7690,2717,56379,395.0,2761,2.0,11.0
