UF,MUNICIPIO,TOTAL,AUTOMOVEL,BONDE,CAMINHAO,CAMINHAO_TRATOR,CAMINHONETE,CAMIONETA,CHASSI_PLATAFORMA,CICLOMOTOR,MICRO_ONIBUS,MOTOCICLETA,MOTONETA,ONIBUS,QUADRICICLO,REBOQUE,SEMI_REBOQUE,SIDE_CAR,OUTROS,TRATOR_ESTEIRA,TRATOR_RODAS,TRICICLO,UTILITARIO
RS,CAMPO BOM,49594,30025,0,968,181,2544,2375,0,113,110,7606,2782,89,0,1567,250,2,83,0,80,4,815
RS,CAMPO NOVO,4440,2512,0,254,73,497,118,0,4,16,630,88,32,0,74,96,1,0,0,4,1,40
RS,CAMPOS BORGES,3212,1712,0,222,36,452,89,1,0,11,479,47,21,0,61,53,0,4,0,2,0,22
RS,CANDELARIA,22110,12131,0,637,122,2083,774,0,9,57,4552,580,151,0,576,172,2,23,0,14,3,224
RS,CANDIDO GODOI,6250,2984,0,421,39,816,262,0,2,15,1353,91,23,0,107,46,0,8,0,4,0,79
RS,CANDIOTA,7808,4468,0,279,56,870,235,1,4,60,1087,86,88,0,419,67,0,13,0,9,4,62
RS,CANELA,36590,23577,0,749,83,3029,2215,0,30,149,3866,702,126,1,1094,92,0,78,0,28,6,765
RS,CANGUCU,46695,23328,0,1786,446,4277,1042,0,22,165,12514,593,289,0,1178,751,2,56,0,45,6,195
RS,CANOAS,244235,155679,0,5055,3389,12467,11649,1,288,615,32589,5360,1150,1,7714,4202,3,195,4,307,45,3522
RS,CANUDOS DO VALE,1221,607,0,43,5,149,48,0,2,12,275,15,10,0,22,6,0,2,0,12,0,13
RS,CAPAO BONITO DO SUL,1105,588,0,86,10,221,38,0,1,7,109,3,3,0,16,8,0,2,0,0,0,13
RS,CAPAO DA CANOA,44380,24396,0,684,81,3120,2178,2,144,93,6979,3120,133,0,2317,91,2,110,0,38,14,878
RS,CAPAO DO CIPO,2397,1023,0,201,38,400,52,0,6,8,488,11,11,0,74,56,0,4,1,2,0,22
RS,CAPAO DO LEAO,18334,9427,0,581,465,1012,442,0,34,29,4258,434,53,0,920,543,0,33,0,36,3,64
RS,CAPELA DE SANTANA,6565,4011,0,253,52,467,200,0,13,17,962,100,28,0,337,56,0,13,0,10,1,45
RS,CAPITAO,2470,1237,0,118,12,239,75,0,0,9,575,99,11,0,52,17,0,5,0,9,0,12
RS,CAPIVARI DO SUL,3755,1767,0,214,178,494,122,0,1,21,342,39,23,0,307,127,0,15,0,28,0,77
RS,CARAA,4291,2379,0,137,3,469,123,0,6,23,915,68,35,0,80,5,0,8,0,15,5,20
RS,CARAZINHO,51414,28582,0,1577,763,4795,2271,0,15,138,7308,2254,239,1,1313,1382,3,93,0,15,9,656
